Date,Open_Price,High_Price,Low_Price,Last Price,Close_Price,Total Traded Quantity,Turnover
3/26/2018,893.95,904.3,892.5,901.5,901.1,6047262,5434879313
3/27/2018,907.2,910.75,897,898.3,899.8,6939577,6269986775
3/28/2018,895.8,895.85,880,881.6,882.7,8759586,7766716375
4/2/2018,893,900.95,886.5,892.95,892.95,5712065,5108762641
4/3/2018,891,901.7,885.25,901,899.55,6364728,5675268232
4/4/2018,904.7,911.8,892.05,893.25,894.9,6498407,5858765070
4/5/2018,905.1,910,903.5,908,908.2,3898676,3537659970
4/6/2018,908,918.5,905,911.95,911,4418462,4033221156
4/9/2018,912.55,919,912.55,915,916,3572251,3272222860
4/10/2018,918.4,923.9,914.15,915.5,917.05,3865402,3552772955
4/11/2018,921.8,932.75,916.05,931.75,930.85,6007539,5574246154
4/12/2018,929.85,936.65,924.2,927.1,928.7,4947725,4598362820
4/13/2018,932.7,941.7,928.7,939.85,938.85,5767984,5404908210
4/16/2018,934.45,940,928.5,938.1,937.05,4084450,3809041574
4/17/2018,940,947.2,936,945,944.25,4388713,4135607266
4/18/2018,945.25,948.2,935.05,937.7,938,3365196,3167484001
